"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","11.0.0.210","10.42.0.2","TCP","60","22607  >  80 [SYN] Seq=0 Win=512 Len=0"
"2","0.000011","11.0.0.210","10.42.0.2","TCP","60","22609  >  80 [SYN] Seq=0 Win=512 Len=0"
"3","0.000022","11.0.0.210","10.42.0.2","TCP","60","22611  >  80 [SYN] Seq=0 Win=512 Len=0"
"4","0.000039","11.0.0.210","10.42.0.2","TCP","60","22612  >  80 [SYN] Seq=0 Win=512 Len=0"
"5","0.000049","11.0.0.210","10.42.0.2","TCP","60","22613  >  80 [SYN] Seq=0 Win=512 Len=0"
"6","0.000057","11.0.0.210","10.42.0.2","TCP","60","22614  >  80 [SYN] Seq=0 Win=512 Len=0"
"7","0.000066","11.0.0.210","10.42.0.2","TCP","60","22671  >  80 [SYN] Seq=0 Win=512 Len=0"
"8","0.000075","11.0.0.210","10.42.0.2","TCP","60","22615  >  80 [SYN] Seq=0 Win=512 Len=0"
"9","0.000083","11.0.0.210","10.42.0.2","TCP","60","22635  >  80 [SYN] Seq=0 Win=512 Len=0"
"10","0.000092","11.0.0.210","10.42.0.2","TCP","60","22616  >  80 [SYN] Seq=0 Win=512 Len=0"
"11","0.000102","11.0.0.210","10.42.0.2","TCP","60","22617  >  80 [SYN] Seq=0 Win=512 Len=0"
"12","0.000109","11.0.0.210","10.42.0.2","TCP","60","22618  >  80 [SYN] Seq=0 Win=512 Len=0"
"13","0.000118","11.0.0.210","10.42.0.2","TCP","60","22619  >  80 [SYN] Seq=0 Win=512 Len=0"
"14","0.000126","11.0.0.210","10.42.0.2","TCP","60","22620  >  80 [SYN] Seq=0 Win=512 Len=0"
"15","0.000135","11.0.0.210","10.42.0.2","TCP","60","22621  >  80 [SYN] Seq=0 Win=512 Len=0"
"16","0.000144","11.0.0.210","10.42.0.2","TCP","60","22622  >  80 [SYN] Seq=0 Win=512 Len=0"
"17","0.000172","11.0.0.210","10.42.0.2","TCP","60","22623  >  80 [SYN] Seq=0 Win=512 Len=0"
"18","0.000183","11.0.0.210","10.42.0.2","TCP","60","22699  >  80 [SYN] Seq=0 Win=512 Len=0"
"19","0.000191","11.0.0.210","10.42.0.2","TCP","60","22624  >  80 [SYN] Seq=0 Win=512 Len=0"
"20","0.000199","11.0.0.210","10.42.0.2","TCP","60","22625  >  80 [SYN] Seq=0 Win=512 Len=0"
"21","0.000216","11.0.0.210","10.42.0.2","TCP","60","22627  >  80 [SYN] Seq=0 Win=512 Len=0"
"22","0.000224","11.0.0.210","10.42.0.2","TCP","60","22628  >  80 [SYN] Seq=0 Win=512 Len=0"
"23","0.000234","11.0.0.210","10.42.0.2","TCP","60","22629  >  80 [SYN] Seq=0 Win=512 Len=0"
"24","0.000243","11.0.0.210","10.42.0.2","TCP","60","22630  >  80 [SYN] Seq=0 Win=512 Len=0"
"25","0.000251","11.0.0.210","10.42.0.2","TCP","60","22631  >  80 [SYN] Seq=0 Win=512 Len=0"
