"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.42.0.2","10.42.0.1","SSH","190","Server: Encrypted packet (len=124)"
"2","0.000660","10.42.0.1","10.42.0.2","TCP","66","51706  >  22 [ACK] Seq=1 Ack=125 Win=501 Len=0 TSval=757832653 TSecr=30051"
"3","12.003101","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"4","13.003919","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"5","14.004171","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"6","15.003651","10.42.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"7","15.003904","10.42.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"8","15.004559","10.42.0.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"9","16.004218","10.42.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"10","16.004265","10.42.0.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"11","17.385686","10.42.0.1","10.42.0.2","TCP","74","49940  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=757850038 TSecr=0 WS=128"
"12","17.385847","10.42.0.2","10.42.0.1","TCP","74","80  >  49940 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=34397 TSecr=757850038 WS=128"
"13","17.386121","10.42.0.1","10.42.0.2","TCP","66","49940  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=757850039 TSecr=34397"
"14","17.386144","10.42.0.1","10.42.0.2","HTTP","256","GET / HTTP/1.1 "
"15","17.386326","10.42.0.2","10.42.0.1","TCP","66","80  >  49940 [ACK] Seq=1 Ack=191 Win=30080 Len=0 TSval=34397 TSecr=757850039"
"16","17.393831","10.42.0.2","10.42.0.1","TCP","7306","80  >  49940 [ACK] Seq=1 Ack=191 Win=30080 Len=7240 TSval=34399 TSecr=757850039 [TCP segment of a reassembled PDU]"
