"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","204.79.197.200","10.0.2.15","TCP","60","443  >  49166 [RST, ACK] Seq=1 Ack=1 Win=32768 Len=0"
"2","7.198198","10.0.2.15","23.40.112.63","TCP","54","49170  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"3","7.208457","10.0.2.15","23.40.112.63","TCP","54","49169  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"4","7.211946","10.0.2.15","23.40.112.10","TCP","54","49168  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"5","7.212776","10.0.2.15","23.65.201.141","TCP","54","49167  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6","7.213596","23.40.112.63","10.0.2.15","TCP","60","443  >  49170 [ACK] Seq=1 Ack=2 Win=32155 Len=0"
"7","7.213596","23.40.112.63","10.0.2.15","TCP","60","80  >  49169 [ACK] Seq=1 Ack=2 Win=32595 Len=0"
"8","7.213596","23.40.112.10","10.0.2.15","TCP","60","80  >  49168 [ACK] Seq=1 Ack=2 Win=32629 Len=0"
"9","7.213596","23.65.201.141","10.0.2.15","TCP","60","80  >  49167 [ACK] Seq=1 Ack=2 Win=32586 Len=0"
"10","7.220789","23.40.112.63","10.0.2.15","TLSv1.2","139","Encrypted Alert"
"11","7.220789","23.40.112.63","10.0.2.15","TCP","60","443  >  49170 [FIN, ACK] Seq=86 Ack=2 Win=32155 Len=0"
"12","7.220789","23.65.201.141","10.0.2.15","TCP","60","80  >  49167 [FIN, ACK] Seq=1 Ack=2 Win=32586 Len=0"
"13","7.220789","23.40.112.10","10.0.2.15","TCP","60","80  >  49168 [FIN, ACK] Seq=1 Ack=2 Win=32629 Len=0"
"14","7.220789","23.40.112.63","10.0.2.15","TCP","60","80  >  49169 [FIN, ACK] Seq=1 Ack=2 Win=32595 Len=0"
"15","7.221008","10.0.2.15","23.40.112.63","TCP","54","49170  >  443 [RST, ACK] Seq=2 Ack=86 Win=0 Len=0"
"16","7.221317","10.0.2.15","23.40.112.63","TCP","54","49170  >  443 [RST] Seq=2 Win=0 Len=0"
"17","7.221932","10.0.2.15","23.65.201.141","TCP","54","49167  >  80 [ACK] Seq=2 Ack=2 Win=65535 Len=0"
"18","7.222715","10.0.2.15","23.40.112.10","TCP","54","49168  >  80 [ACK] Seq=2 Ack=2 Win=65535 Len=0"
"19","7.223054","10.0.2.15","23.40.112.63","TCP","54","49169  >  80 [ACK] Seq=2 Ack=2 Win=65535 Len=0"
"20","7.224488","10.0.2.15","104.85.52.225","TCP","54","49164  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"21","7.226400","10.0.2.15","104.85.52.225","TCP","54","49160  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"22","7.226860","104.85.52.225","10.0.2.15","TCP","60","80  >  49164 [ACK] Seq=1 Ack=2 Win=32618 Len=0"
"23","7.228616","10.0.2.15","23.52.242.155","TCP","54","49159  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"24","7.231675","104.85.52.225","10.0.2.15","TCP","60","80  >  49160 [ACK] Seq=1 Ack=2 Win=32475 Len=0"
"25","7.231675","23.52.242.155","10.0.2.15","TCP","60","80  >  49159 [ACK] Seq=1 Ack=2 Win=32540 Len=0"
"26","7.238360","104.85.52.225","10.0.2.15","TCP","60","80  >  49160 [FIN, ACK] Seq=1 Ack=2 Win=32475 Len=0"
"27","7.238360","104.85.52.225","10.0.2.15","TCP","60","80  >  49164 [FIN, ACK] Seq=1 Ack=2 Win=32618 Len=0"
"28","7.238526","10.0.2.15","104.85.52.225","TCP","54","49160  >  80 [ACK] Seq=2 Ack=2 Win=65535 Len=0"
"29","7.238778","10.0.2.15","104.85.52.225","TCP","54","49164  >  80 [ACK] Seq=2 Ack=2 Win=65535 Len=0"
"30","7.485272","23.52.242.155","10.0.2.15","TCP","60","80  >  49159 [FIN, ACK] Seq=1 Ack=2 Win=32540 Len=0"
"31","7.485375","10.0.2.15","23.52.242.155","TCP","54","49159  >  80 [ACK] Seq=2 Ack=2 Win=65535 Len=0"
"32","10.885726","10.0.2.15","8.248.84.126","TCP","54","49162  >  80 [FIN, ACK] Seq=1 Ack=1 Win=63904 Len=0"
"33","10.985794","8.248.84.126","10.0.2.15","TCP","60","80  >  49162 [ACK] Seq=1 Ack=2 Win=32481 Len=0"
"34","10.985794","8.248.84.126","10.0.2.15","TCP","60","80  >  49162 [FIN, ACK] Seq=1 Ack=2 Win=32481 Len=0"
"35","10.985956","10.0.2.15","8.248.84.126","TCP","54","49162  >  80 [ACK] Seq=2 Ack=2 Win=63904 Len=0"
"36","11.953943","fe80::2584:baa2:5d4d:c86d","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"37","11.964662","10.0.2.15","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"38","11.980087","10.0.2.15","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"39","12.209634","10.0.2.15","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"40","12.210233","fe80::2584:baa2:5d4d:c86d","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"41","12.681981","10.0.2.15","204.79.197.200","TCP","54","49165  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"42","12.683603","10.0.2.15","204.79.197.200","TCP","66","49174  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"43","12.684391","10.0.2.15","204.79.197.200","TCP","66","49175  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"44","12.685139","204.79.197.200","10.0.2.15","TCP","60","443  >  49165 [ACK] Seq=1 Ack=2 Win=31573 Len=0"
"45","12.694222","204.79.197.200","10.0.2.15","TCP","60","443  >  49174 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"46","12.694222","204.79.197.200","10.0.2.15","TCP","60","443  >  49175 [SYN, ACK] Seq=0 Ack=1 Win=32768 Len=0 MSS=1460"
"47","12.694222","204.79.197.200","10.0.2.15","TCP","60","443  >  49165 [RST, ACK] Seq=1 Ack=2 Win=32768 Len=0"
"48","12.694846","10.0.2.15","204.79.197.200","TCP","54","49174  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"49","12.695107","10.0.2.15","204.79.197.200","TCP","54","49175  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"50","12.702144","10.0.2.15","204.79.197.200","TLSv1.2","540","Client Hello"
"51","12.703154","10.0.2.15","204.79.197.200","TLSv1.2","540","Client Hello"
"52","12.709926","204.79.197.200","10.0.2.15","TLSv1.2","251","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"53","12.710157","10.0.2.15","204.79.197.200","TCP","54","49174  >  443 [ACK] Seq=487 Ack=198 Win=65535 Len=0"
"54","12.711865","204.79.197.200","10.0.2.15","TCP","1514","443  >  49175 [ACK] Seq=1 Ack=487 Win=32282 Len=1460 [TCP segment of a reassembled PDU]"
"55","12.711865","204.79.197.200","10.0.2.15","TCP","1514","443  >  49175 [PSH, ACK] Seq=1461 Ack=487 Win=32282 Len=1460 [TCP segment of a reassembled PDU]"
"56","12.712066","10.0.2.15","204.79.197.200","TCP","54","49175  >  443 [ACK] Seq=487 Ack=2921 Win=65535 Len=0"
"57","12.712689","204.79.197.200","10.0.2.15","TCP","1514","443  >  49175 [PSH, ACK] Seq=2921 Ack=487 Win=32282 Len=1460 [TCP segment of a reassembled PDU]"
"58","12.712743","10.0.2.15","204.79.197.200","TCP","54","49175  >  443 [ACK] Seq=487 Ack=4381 Win=65535 Len=0"
"59","12.714604","10.0.2.15","204.79.197.200","TLSv1.2","161","Change Cipher Spec, Encrypted Handshake Message"
"60","12.722321","10.0.2.15","204.79.197.200","TLSv1.2","923","Application Data"
"61","12.722772","204.79.197.200","10.0.2.15","TCP","1514","443  >  49175 [ACK] Seq=4381 Ack=487 Win=32282 Len=1460 [TCP segment of a reassembled PDU]"
"62","12.723438","10.0.2.15","204.79.197.200","TCP","54","49175  >  443 [ACK] Seq=487 Ack=5841 Win=65535 Len=0"
"63","12.744692","204.79.197.200","10.0.2.15","TCP","60","443  >  49174 [ACK] Seq=198 Ack=1463 Win=32768 Len=0"
"64","12.744692","204.79.197.200","10.0.2.15","TLSv1.2","1238","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"65","12.744852","10.0.2.15","204.79.197.200","TCP","54","49175  >  443 [ACK] Seq=487 Ack=7025 Win=65535 Len=0"
"66","12.773608","10.0.2.15","204.79.197.200","TLSv1.2","268","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"67","12.798646","204.79.197.200","10.0.2.15","TLSv1.2","1339","Application Data"
"68","12.798646","204.79.197.200","10.0.2.15","TLSv1.2","161","Change Cipher Spec, Encrypted Handshake Message"
"69","12.798856","10.0.2.15","204.79.197.200","TCP","54","49174  >  443 [ACK] Seq=1463 Ack=1483 Win=65535 Len=0"
"70","12.799073","10.0.2.15","204.79.197.200","TCP","54","49175  >  443 [ACK] Seq=701 Ack=7132 Win=65535 Len=0"
"71","13.765571","10.0.2.15","204.79.197.200","TLSv1.2","827","Application Data"
"72","13.814952","204.79.197.200","10.0.2.15","TCP","60","443  >  49174 [ACK] Seq=1483 Ack=2236 Win=31995 Len=0"
"73","13.876467","204.79.197.200","10.0.2.15","TLSv1.2","1051","Application Data"
"74","13.876569","10.0.2.15","204.79.197.200","TCP","54","49174  >  443 [ACK] Seq=2236 Ack=2480 Win=65535 Len=0"
"75","14.079433","10.0.2.15","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"76","14.424052","10.0.2.15","204.79.197.200","TLSv1.2","1003","Application Data"
